Ranking,Name,q_r_base,band,w_band
1,Umbreon,169,1-150,1.0
2,Mimikyu,148,1-150,0.8705505632961241
3,Sylveon,136,1-150,0.8027415617602307
4,Eevee,129,1-150,0.757858283255199
5,Vaporeon,124,1-150,0.7247796636776955
6,Rayquaza,120,1-150,0.6988271187715792
7,Lucario,116,1-150,0.677610913400481
8,Chandelure,113,1-150,0.6597539553864471
9,Mew,111,1-150,0.6443940149772542
10,Espeon,109,1-150,0.6309573444801932
11,Lugia,107,1-150,0.6190439206838455
12,Leafeon,105,1-150,0.6083643418932058
13,Mudkip,103,1-150,0.5987028555414977
14,Kyogre,102,1-150,0.5898945623563898
15,Lapras,101,1-150,0.581810759152688
16,Mewtwo,99,1-150,0.5743491774985174
17,Gengar,98,1-150,0.5674272856715801
18,Luxray,97,1-150,0.5609775727230997
19,Rowlet,96,1-150,0.5549441528283543
20,Cyndaquil,95,1-150,0.5492802716530588
21,Gardevoir,94,1-150,0.5439464428888785
22,Giratina,94,1-150,0.5389090338563629
23,Jolteon,93,1-150,0.534139176844219
24,Decidueye,92,1-150,0.5296119205244061
25,Dragonite,91,1-150,0.5253055608807534
26,Lunala,91,1-150,0.5212011081386488
27,Suicune,90,1-150,0.5172818579717865
28,Bulbasaur,89,1-150,0.5135330435446758
29,Piplup,89,1-150,0.5099415508554722
30,Flygon,88,1-150,0.5064956841121182
31,Ninetales,88,1-150,0.5031849709985139
32,Garchomp,87,1-150,0.5
33,Darkrai,87,1-150,0.4969322836879265
34,Zoroark,86,1-150,0.4939741431709848
35,Dragonair,86,1-150,0.4911186099187366
36,Empoleon,85,1-150,0.4883593419305869
37,Glaceon,85,1-150,0.4856905518191413
38,Blastoise,85,1-150,0.4831069448426142
39,Greninja,84,1-150,0.48060366528769166
40,Wooper,84,1-150,0.47817624989501845
41,Shaymin,83,1-150,0.4758205872514956
42,Zorua,83,1-150,0.4735328822598362
43,Scizor,83,1-150,0.4713096249462249
44,Typhlosion,82,1-150,0.46914756298902677
45,Dialga,82,1-150,0.46704367745113423
46,Ho-Oh,82,1-150,0.46499516128026286
47,Jirachi,81,1-150,0.4629994002088401
48,Raichu,81,1-150,0.4610539557408639
49,Xerneas,81,1-150,0.45915654995943406
50,Ampharos,80,1-150,0.45730505192732634
51,Reshiram,80,1-150,0.4554974654853728
52,Arceus,80,1-150,0.4537319182806649
53,Swampert,79,1-150,0.4520066518795915
54,Torterra,79,1-150,0.45032001284020445
55,Squirtle,79,1-150,0.4486704446349596
56,Ivysaur,79,1-150,0.4470564803289906
57,Absol,78,1-150,0.44547673593114123
58,Sprigatito,78,1-150,0.4439299043453304
59,Victini,78,1-150,0.4424147498587236
60,Flareon,78,1-150,0.4409301031108602
61,Arcanine,77,1-150,0.43947485649452495
62,Ceruledge,77,1-150,0.43804795994490014
63,Blaziken,77,1-150,0.4366484170785404
64,Litten,77,1-150,0.43527528164806206
65,Pikachu,77,1-150,0.43392765428224267
66,Snorlax,76,1-150,0.43260467948455383
67,Gyarados,76,1-150,0.431305542866065
68,Milotic,76,1-150,0.4300294685912211
69,Metagross,76,1-150,0.42877571701725237
70,Venusaur,75,1-150,0.42754358250996566
71,Articuno,75,1-150,0.4263323914204262
72,Latias,75,1-150,0.4251415002085969
73,Celebi,75,1-150,0.4239702937013828
74,Altaria,75,1-150,0.42281818347375877
75,Oshawott,75,1-150,0.42168460634274996
76,Rotom,74,1-150,0.42056902296500737
77,Gallade,74,1-150,0.41947091652959545
78,Zekrom,74,1-150,0.4183897915383819
79,Ditto,74,1-150,0.41732517266711977
80,Lycanroc,74,1-150,0.41627660370093655
81,Dratini,73,1-150,0.41524364653850576
82,Corviknight,73,1-150,0.4142258802596821
83,Dragapult,73,1-150,0.41322290025183656
84,Salamence,73,1-150,0.4122343173905376
85,Mismagius,73,1-150,0.4112597572705955
86,Serperior,73,1-150,0.4102988594838211
87,Riolu,73,1-150,0.40935127694015583
88,Vulpix,72,1-150,0.40841667522910113
89,Goodra,72,1-150,0.40749473201862896
90,Furret,72,1-150,0.4065851364889782
91,Quagsire,72,1-150,0.40568758879895045
92,Porygon,72,1-150,0.4048017995825049
93,Solgaleo,72,1-150,0.4039274894736234
94,Meowscarada,72,1-150,0.4030643886575734
95,Primarina,71,1-150,0.40221223644683823
96,Spheal,71,1-150,0.4013707808801153
97,Sceptile,71,1-150,0.4005397783429008
98,Clodsire,71,1-150,0.3997189932082903
99,Marshadow,71,1-150,0.3989081974967242
100,Quilava,71,1-150,0.3981071705534972
101,Tyranitar,71,1-150,0.3973156987429393
102,Charizard,70,1-150,0.3965335751582481
103,Cosmog,70,1-150,0.3957605993460295
104,Totodile,70,1-150,0.3949965770446638
105,Groudon,70,1-150,0.3942413199356802
106,Phantump,70,1-150,0.39349464540737344
107,Rockruff,70,1-150,0.39275637632995297
108,Haunter,70,1-150,0.39202634084155785
109,Grovyle,70,1-150,0.39130437214451874
110,Fennekin,69,1-150,0.39059030831128655
111,Mareep,69,1-150,0.3898839920994857
112,Porygon2,69,1-150,0.3891852707755854
113,Pichu,69,1-150,0.38849399594671424
114,Wartortle,69,1-150,0.38781002340017373
115,Scyther,69,1-150,0.3871332129502341
116,Hydreigon,69,1-150,0.3864634282918219
117,Noivern,69,1-150,0.3858005368607328
118,Zapdos,69,1-150,0.38514440970002567
119,Snivy,69,1-150,0.38449492133227503
120,Porygon-Z,68,1-150,0.38385194963737745
121,Turtwig,68,1-150,0.38321537573562725
122,Litwick,68,1-150,0.38258508387579204
123,Torchic,68,1-150,0.38196096132793567
124,Samurott,68,1-150,0.38134289828075085
125,Latios,68,1-150,0.3807307877431757
126,Deoxys,68,1-150,0.38012452545008435
127,Froslass,68,1-150,0.37952400977185097
128,Braixen,68,1-150,0.3789291416275995
129,Shinx,68,1-150,0.3783398244019612
130,Entei,67,1-150,0.37775596386517213
131,Togepi,67,1-150,0.3771774680963526
132,Raikou,67,1-150,0.37660424740981757
133,Charmander,67,1-150,0.3760362142842772
134,Weavile,67,1-150,0.37547328329479346
135,Volcarona,67,1-150,0.3749153710473649
136,Aegislash,67,1-150,0.37436239611602046
137,Breloom,67,1-150,0.37381427898230773
138,Trevenant,67,1-150,0.37327094197706856
139,Treecko,67,1-150,0.3727323092243983
140,Fuecoco,67,1-150,0.3721983065876935
141,Gliscor,66,1-150,0.3716688616176944
142,Skeledirge,66,1-150,0.37114390350243576
143,Tinkaton,66,1-150,0.37062336301902277
144,Krookodile,66,1-150,0.3701071724871533
145,Meloetta,66,1-150,0.3695952657243116
146,Popplio,66,1-150,0.3690875780025619
147,Misdreavus,66,1-150,0.3685840460068755
148,Yveltal,66,1-150,0.3680846077949247
149,Scorbunny,66,1-150,0.36758920275828505
150,Delphox,66,1-150,0.3670977715849853
151,Heracross,65,151-500,1.0
152,Growlithe,58,151-500,0.8766057213160351
153,Cubone,54,151-500,0.8116092004987074
154,Togekiss,52,151-500,0.7684375906440062
155,Alakazam,50,151-500,0.7365389174797359
156,Dewott,48,151-500,0.7114612686299
157,Haxorus,47,151-500,0.6909257400742687
158,Froakie,46,151-500,0.6736167884328451
159,Miraidon,45,151-500,0.658709494334151
160,Iron Valiant,44,151-500,0.6456542290346555
161,Palkia,44,151-500,0.6340673487771036
162,Aggron,43,151-500,0.6236710185757348
163,Crobat,42,151-500,0.614257917526621
164,Ralts,42,151-500,0.6056694567536196
165,Mawile,41,151-500,0.5977817619519119
166,Zygarde,41,151-500,0.5904963307147651
167,Floragato,41,151-500,0.5837336170691962
168,Feraligatr,40,151-500,0.5774285114185093
169,Lilligant,40,151-500,0.5715270838585208
170,Sirfetch'd,40,151-500,0.5659841911636727
171,Aurorus,39,151-500,0.5607616875056549
172,Meganium,39,151-500,0.5558270656376988
173,Sharpedo,39,151-500,0.5511524104853002
174,Shedinja,38,151-500,0.5467135831024884
175,Slowbro,38,151-500,0.5424895769622212
176,Goomy,38,151-500,0.5384620048675092
177,Incineroar,38,151-500,0.5346146860574482
178,Golurk,38,151-500,0.5309333110165978
179,Marill,37,151-500,0.5274051671558878
180,Azumarill,37,151-500,0.5240189126254261
181,Gible,37,151-500,0.5207643885154845
182,Torracat,37,151-500,0.5176324619206888
183,Lampent,37,151-500,0.5146148940033201
184,Nidoking,36,151-500,0.511704228447361
185,Cinderace,36,151-500,0.5088936966531872
186,Emolga,36,151-500,0.5061771367604667
187,Wooloo,36,151-500,0.5035489241593135
188,Whimsicott,36,151-500,0.5010039115974487
189,Snom,36,151-500,0.4985373773437818
190,Koraidon,35,151-500,0.496144980148504
191,Joltik,35,151-500,0.49382271996301874
192,Sandslash,35,151-500,0.49156690356229166
193,Spiritomb,35,151-500,0.48937411435698525
194,Pachirisu,35,151-500,0.4872411858003102
195,Gabite,35,151-500,0.48516517789049984
196,Zacian,35,151-500,0.483143356348538
197,Staraptor,35,151-500,0.4811731741156561
198,Meowth,34,151-500,0.4792522548688309
199,Sneasel,34,151-500,0.47737837829717583
200,Cinccino,34,151-500,0.47554946691939864
201,Houndoom,34,151-500,0.47376357425374904
202,Luxio,34,151-500,0.47201887417816124
203,Walking Wake,34,151-500,0.4703136513404898
204,Bayleef,34,151-500,0.46864629249753503
205,Gastly,34,151-500,0.46701527867753395
206,Reuniclus,34,151-500,0.4654191780744156
207,Kyurem,34,151-500,0.46385663959377177
208,Noibat,33,151-500,0.4623263869804911
209,Marowak,33,151-500,0.4608272134665976
210,Sableye,33,151-500,0.459357976885256
211,Pumpkaboo,33,151-500,0.4579175952033146
212,Excadrill,33,151-500,0.45650504243032025
213,Beedrill,33,151-500,0.4551193448667706
214,Axew,33,151-500,0.45375957765858044
215,Infernape,33,151-500,0.4524248616284143
